id,lat,long,diam,type
10-0-010600,1772291.2925747752,4013537.726910821,3.88710384,1
10-0-010601,1768605.6623480013,4104061.26353145,6.26492956,
10-0-012102,1764368.7495955608,4078476.6419467963,11.11956205,2
10-0-012137,1562691.823374466,4104230.4394645183,10.76063829,2
10-0-012176,1340480.279651024,4134988.1723833564,4.82905222,
10-0-012177,1172115.6911850024,4131852.7637245213,10.08998423,2
10-0-012179,1113615.955010985,4001656.582321374,10.6041514,2
10-1-004893,1762364.3870722482,4070129.1699873502,11.60496273,2
10-1-004898,1742117.1142633476,4176972.646423904,93.78697656,2
10-1-004906,1771516.2185016517,4331133.611753352,5.96578535,1
10-1-004907,1754613.8342312907,4346280.340365742,4.49813295,1
10-1-004920,1764713.984647219,4553923.087600966,17.32072694,2
10-1-004924,1773907.4097685185,4724083.806965888,4.15534317,1
10-1-004925,1757518.8508816354,4736546.518793325,6.246282,1
10-1-004938,1764687.538349553,4817280.700413522,3.81190155,1
10-1-004939,1763801.5521112753,4801146.7411527205,17.22914117,2
10-1-004942,1760980.8478155409,4853486.787922052,7.53974517,2
10-1-004990,1760217.4460555557,5171410.757642034,32.88481232,2
10-1-005028,1742861.9202201327,5276766.206489042,11.52998364,2
10-1-005044,1701354.5221211682,5200126.495452083,3.15657216,1
10-1-005047,1744609.0953288532,5170214.121795857,14.87517144,2
10-1-005049,1744519.7816550804,5116303.30458855,8.02718048,2
10-1-005050,1686960.633108598,5101689.085477196,3.36435538,1
10-1-005055,1709552.153064871,5050246.348150846,3.29700709,1
10-1-005056,1682768.5046265142,5049761.413416802,3.37194577,1
10-1-005057,1687041.5681798968,5045215.25401006,7.32050826,
10-1-005058,1697882.632200994,5035072.850804474,12.05742303,2
10-1-005061,1702034.1538596824,5024467.632944383,19.82402217,2
10-1-005063,1719846.9329158948,4985500.16408762,9.15303455,2
10-1-005068,1694892.8562898226,4945094.949332292,3.41732161,1
10-1-005070,1679188.045538892,4903377.255779414,4.50965566,1
10-1-005081,1689533.5676195307,4943449.215414692,48.76081454,2
10-1-005088,1697949.6948054766,4759640.6624347055,12.18037217,2
10-1-005090,1739150.5810316773,4749532.767027371,4.902074,1
10-1-005091,1697856.0898836905,4709797.643096292,3.08601205,1
10-1-005092,1713428.7207123933,4699883.244447955,3.93502883,1
10-1-005094,1718712.90720803,4616089.589106486,4.61936724,1
10-1-005095,1677669.0332420068,4573126.803574997,5.38751492,3
10-1-005096,1728891.1672285057,4606133.466369213,5.14596503,1
10-1-005099,1682989.8838287485,4475540.706672985,7.10921563,1
10-1-005101,1731168.3191721356,4370666.3055428285,6.5584785,3
